time,open,high,low,close
1779884400,25291.28,25373.95,25280.18,25314.02
1779884700,25313.79,25359.95,25312.62,25351.33
1779885000,25352.94,25359.28,25298.01,25298.16
1779885300,25297.62,25329.26,25289.33,25291.56
1779885600,25291.69,25329.87,25291.69,25329.87
1779885900,25329.6,25329.6,25283.94,25283.94
1779886200,25284.13,25293.65,25277.67,25277.67
1779886500,25277.53,25278.67,25254.93,25262.78
1779886800,25262.6,25284.19,25253.27,25278.58
1779887100,25278.02,25278.73,25265.9,25267.52
1779887400,25266.69,25272.64,25258.33,25272.32
1779887700,25272.31,25273.3,25247.42,25249.68
1779888000,25249.87,25261.05,25248.79,25254.46
1779888300,25254.83,25262.37,25244.89,25251.23
1779888600,25249.34,25263.66,25235.96,25242.0
1779888900,25240.78,25241.72,25214.24,25224.53
1779889200,25224.67,25232.58,25216.91,25222.71
1779889500,25222.03,25247.62,25222.03,25228.7
1779889800,25228.47,25254.73,25220.68,25239.81
1779890100,25239.65,25251.99,25231.12,25251.42
1779890400,25246.34,25262.36,25244.98,25254.01
1779890700,25254.54,25262.7,25226.08,25233.93
1779891000,25233.44,25240.31,25221.61,25226.52
1779891300,25226.19,25230.78,25215.46,25223.92
1779891600,25224.3,25224.48,25179.98,25179.98
1779891900,25180.36,25203.72,25173.4,25203.52
1779892200,25204.14,25210.86,25113.15,25155.33
1779892500,25155.92,25193.13,25148.25,25193.13
1779892800,25192.93,25195.1,25174.42,25175.09
1779893100,25175.47,25203.3,25174.21,25191.34
1779893400,25191.45,25209.72,25190.76,25206.76
1779893700,25207.11,25217.45,25202.27,25214.01
1779894000,25215.34,25233.73,25206.13,25209.35
1779894300,25208.24,25209.64,25189.19,25191.1
1779894600,25191.73,25202.45,25189.52,25199.04
1779894900,25198.58,25204.38,25189.11,25189.39
1779895200,25189.3,25213.87,25189.02,25212.16
1779895500,25211.85,25217.37,25196.04,25216.74
1779951600,25083.77,25116.98,25082.91,25116.98
1779951900,25116.96,25145.66,25111.37,25140.15
1779952200,25140.6,25164.53,25122.23,25143.13
1779952500,25144.19,25154.46,25130.0,25154.33
1779952800,25153.82,25154.36,25136.75,25145.29
1779953100,25145.38,25146.47,25132.69,25146.15
1779953400,25147.07,25153.96,25122.6,25124.4
1779953700,25124.57,25153.91,25118.91,25145.8
1779954000,25145.72,25152.7,25133.28,25134.01
1779954300,25133.87,25135.39,25095.8,25116.35
1779954600,25116.3,25134.06,25109.13,25134.06
1779954900,25133.65,25146.48,25117.67,25146.21
1779955200,25149.16,25172.44,25138.96,25144.09
1779955500,25143.4,25171.91,25130.22,25165.26
1779955800,25164.19,25177.25,25160.61,25169.08
1779956100,25168.16,25172.77,25161.28,25161.36
1779956400,25161.24,25171.11,25152.54,25153.89
1779956700,25153.35,25155.16,25127.56,25142.23
1779957000,25142.76,25147.87,25133.97,25135.88
1779957300,25136.48,25140.36,25124.35,25134.24
1779957600,25133.79,25140.63,25132.19,25138.13
1779957900,25138.02,25145.32,25136.22,25145.32
1779958200,25144.27,25157.05,25141.21,25153.51
1779958500,25153.37,25161.57,25151.99,25161.57
1779958800,25161.85,25178.65,25160.07,25167.9
1779959100,25168.39,25174.08,25142.71,25142.71
1779959400,25142.93,25161.26,25142.93,25161.26
1779959700,25161.12,25170.33,25151.72,25167.83
1779960000,25168.05,25174.87,25157.56,25171.73
1779960300,25171.66,25176.46,25151.01,25155.65
1779960600,25156.03,25156.03,25133.18,25135.56
